Abu_Jawan[1]SN	Abu_Jawan	000002	[]	
Abu_Salabikh[1]SN	Abu_Salabikh	912950	[45.054494428,32.2526542346]	uncertain (mod. Abu Salabikh),Abu Salabikh
Acem_Höyük[1]SN	Acem_Höyük	804216207	[33.833806,38.4097631]	Acem Höyük,uncertain (mod. Acem Höyük)
Acharneh[1]SN	Acharneh	668200	[36.4000000,35.2833333]	Tunip (mod. Acharneh),Acharneh (Tunip),Tunip
Adab[1]SN	Adab	787747618	[45.6283350,31.9516440]	Bismaya (Adab),Adab (mod. Bismaya),Adab
Adummatu[1]SN	Adummatu	29548	[39.882216,29.803206]	Adummatu,Dumatha
Agade[1]SN	Agade	63806066	[]	Agade (mod. uncertain)
Akku[1]SN	Akku	678010	[35.074187,32.924716]	Acco,Accra,T. al-Fuḫḫār,Akkû
Akzibi[1]SN	Akzibi	678128	[35.108399,33.047809]	Akzībi,T. Achzib,Akzîb,az-Zīb
Alalah[1]SN	Alalah	309866128	[36.3834638406,36.2384508975]	Alalakh (mod. Tell Açana),Tell Açana (Alalakh)
Aliler[1]SN	Aliler	291498921	[43.4991276,38.8439399]	
Altaqu[1]SN	Altaqu	498102722	[34.817,31.882833]	T. aš-Šallāf,Altaqû,Elteqēh
Altıntepe[1]SN	Altıntepe	874316	[39.6479773,39.6978948]	uncertain (mod. Altıntepe)
alu_ša_Harani[1]SN	alu_ša_Harani	498102723	[40.516667,35.25]	T. Ḫanḏal,ālu ša Ḫarāni,alu ša Harani
Amarna[1]SN	Amarna	149576487	[30.899569,27.645956]	Akhetaten (mod. el-Amarna),Akhetaten,el-Amarna (Akhetaten)
Ammana[1]SN	Ammana	697728	[35.934602,31.955128]	
Amuda[1]SN	Amuda	874318	[40.93, 37.104165999999999]	
Ana[1]SN	Ana	893936	[41.978974,34.469451]	uncertain (mod. 'Ana),ʾAna,Ānat,Āna,Ana,’Ana,Anat,Anatho
Anqarruna[1]SN	Anqarruna	687888	[34.848363,31.779672]	Anqarrūna,Tel Miqne,Ekron,Akkaron
Antakya[1]SN	Antakya	658381	[36.137399,36.182294]	uncertain (mod. Antakya),Antiocheia am Orontes,Theoupolis,Antiochia
Anzan[1]SN	Anzan	922729	[52.409340,29.998874]	Anšan,Tall-i Malyān,Anzan
Apqu_ša_Adad[1]SN	Apqu_ša_Adad	874723	[42.597299,36.429708]	Apku,T. Abū Mārīyā,Apqu-ša-Adad (mod. Tell Abu Marya),Tell Abu Marya (Apqu-ša-Adad),Tell Abu Marya,Apqu ša Adad,Apqu
Arbela[1]SN	Arbela	874341	[44.009240,36.191265]	Arbail (mod. Erbil),Erbil (Arbail),Arbail,Arbēla,Arbīl
Argishtikhinili[1]SN	Argishtikhinili	825227	[44.04,40.15]	Argištiḫinili,Argištiḫinili (mod. Armavir),Armavir (Argištiḫinili),Armavir,Argishtikhinili
Aridu[1]SN	Aridu	811007392	[40.397,37.0045]	Arīdu,T. ʿArāda
Arman[1]SN	Arman	903043	[45.862667,34.459833]	Ḫalmān/Armān,Ḫalman/Hulwan,Ḥolwa,Armān,Halman,Ḫalman,Arman,Hulwan,Ḥulwān
Arne[1]SN	Arne	540663	[22.933280,38.482880]	Arnê (?),T. ʿArān,Erin,Arna
Arpadda[1]SN	Arpadda	122919705	[37.108167,36.474833]	T. Rifʿat,ʾrpd,Arpadda
Arqa[1]SN	Arqa	628929	[37.971131,38.334540]	Arqâ,Archis,T. ʿArqā,Arca
Arrapha[1]SN	Arrapha	893941	[44.395300,35.468099]	Karkūk,Arrapḫa
Aruma[1]SN	Aruma	626129075	[35.317667,32.790833]	Ḫirbat ar-Rūma,Arūmâ,Arumā
Arwada[1]SN	Arwada	668197	[35.86,34.863333]	Aradus,Arwāda,Arwād
Arza[1]SN	Arza	309101265	[34.4635,31.391833]	Arzâ,T. Ǧāmā
Asdudimmu[1]SN	Asdudimmu	687843	[34.628333,31.770833]	Ašdôd-Yam,Tel Mor,Asdūdimmu
Asdudu[1]SN	Asdudu	687838	[34.652079,31.765635]	Ashdod (Asdūdu),Ašdôd,Asdūdu (mod. Ashdod),Esdūd,Asdūdu,Ashdod
Ashani[1]SN	Ashani	190903325	[36.653,35.441667]	Ašḫāni,Ḫān Šayḫūn,Isḫanikka
Assyria[1]GN	Assyria	29492	[43.2,36.2]	uncertain (mod. Assyria),Māt Aššur,Mat Aššur,Mat-Aššur,Subartu
Astamaku[1]SN	Astamaku	56494917	[36.616667,35.866667]	Aštamāku,ʾystmk,al- Mastumaḥ,Stumak
Astartu[1]SN	Astartu	678227	[36.029358,32.837408]	Aštārôt,T. Aštara,Astārtu
Aššur[1]SN	Aššur	893945	[43.262037,35.458121]	Aššur/Libbi-āli,Qalat Sherqat (Assur),Assur (mod. Qalat Sherqat),Aššur (mod. Qalʿat Sherqat),Qalʿat Šarqāṭ,Libbi-ali,Assur,Ashur
Atmannu[1]SN	Atmannu	532748466	[43.6813950, 35.3820100]	Atmannu (mod. Tell 'Ali),Tell &apos;Ali (Atmannu),Tell ʾAli (Atmannu),Tall 'Ali,Tell 'Ali,Tell 'Ali (Atmannu),Tell ’Ali (Atmannu)
Atunna[1]SN	Atunna	648802	[34.564162,37.520926]	Porsuk,Tynna
Azaqa[1]SN	Azaqa	687871	[34.933333,31.7]	Azaqâ,ʿAzēqāh,T. Zakarīya
Azuru[1]SN	Azuru	977603752	[34.7805,32.021667]	Yāzūr,Azuru,Azor
Babil[1]SN	Babil	7082320	[42.027333,37.18775]	uncertain (mod. Babil)
Babili[1]SN	Babili	893951	[44.422236,32.543395]	Babylon (Bābili),Bābili (mod. Babylon),Bābili,Bābil,Babylon
Babylonia[1]GN	Babylonia	912816	[44.5,32.5]	uncertain (mod. Babylonia),Karduniaš
Banai-barqa[1]SN	Banai-barqa	687847	[34.818553,32.044043]	Banai-barqa,Bnē Brāq,Ibn Ibrāq,Bene Beraq
Barsip[1]SN	Barsip	893964	[44.344757,32.390721]	Barsip,Birs Nimrud (Borsippa),Borsippa (mod. Birs Nimrud),Borsipa,Borsippa,Birs Nimrūd
Başkale[1]SN	Başkale	705365883	[44.0180863,38.0444545]	uncertain (mod. Başkale)
Bastam[1]SN	Bastam	874396	[44.893607000000003,38.891105000000003]	uncertain (mod. Bastam)
Bavian[1]SN	Bavian	874398	[43.405319,36.725062]	Āmidu,uncertain (mod. Bavian),Bāwiān,Diyarbakir,Bāwiyān,Āmid
Beʾru[1]SN	Beʾru	678060	[35.501176,33.897902]	Be'rū,Beirut,Bairūt,Berytos
Beisan[1]SN	Beisan	505388706	[43.1044,36.4087]	Baysān
Ben_Shemen_Forest[1]GN	Ben_Shemen_Forest	413309736	[34.9249,31.954]	Ben Shemen Forest,uncertain (mod. Ben Shemen),Ben Shemen
Bingöl_Dağ[1]GN	Bingöl_Dağ	874294	[41.5,39.5]	Bingöl Dağ,uncertain (mod. Bingöl Dağ)
Bisutun[1]GN	Bisutun	903002	[47.454353,34.393528]	Behistun,uncertain (mod. Behistun)
Bit-Adad-eriba[1]SN	Bit-Adad-eriba	977603753	[42.933333,36.666667]	Bīt-Adad-erība,T. Baqāq 2
Bitlis[1]SN	Bitlis	874438	[42.116666,38.4]	uncertain (mod. Bitlis)
Brissa[1]SN	Brissa	809004346	[36.310844,34.432209]	uncertain (mod. Brissa),Wadi Esh-Sharbin,Wadi Ash-Shab,Braïssé,Brisa
Burmarina[1]SN	Burmarina	727743777	[38.0615,36.782]	T. Suḫ Fawqāni,Būr-marʾīna
Çavuştepe[1]SN	Çavuştepe	825333700	[43.459885978,38.3526615055]	Sardurihinili (mod. Çavuştepe),Çavuştepe (Sardurihinili)
Chagar_Bazar[1]SN	Chagar_Bazar	480215077	[40.8976593415,36.8755945806]	uncertain (mod. Chagar Bazar),Chagar Bazar
Cythera_(island)[1]GN	Cythera_(island)	570186	[22.981207,36.267241]	Cythera (island),uncertain (mod. Kastri, Cythera, Greece),Kastri island
Dabigu[1]SN	Dabigu	727743778	[37,268667,36,550833]	Dābiq,Dābigu,Dabekon
Dana[1]SN	Dana	858843277	[36,780833,36,218]	ad- Dāna,Atanni,Dāna
Daskyleion[1]SN	Daskyleion	511225	[28.062536,40.138708]	Daskyleion (mod. Ergili),Ergili (Daskyleion)
Dawali[1]SN	Dawali	945906723	[41.992053,34.453904]	Ad Dawālī,uncertain (mod. Dawali)
Deru[1]SN	Deru	903013	[45.947885,33.109452]	Der (mod. Tell Aqar),T. Aqar (near Badra),Tell Aqar (Der),Der,Dēru
Dilbat[1]SN	Dilbat	893987	[44.466967,32.295211]	Dilbat (mod. Deilam),Deilam (Dilbat),T. Dulaim,T. Dailam,Dilbat
Dilmun[1]SN	Dilmun	912837	[49.2147584551,27.7606274393]	Bahrain,Dilmun (mod. A'ali, Bahrain),Dilmun (mod. Qal'at al-Bahrain),A&apos;ali, Bahrain (Dilmun),Aʾali, Bahrain (Dilmun),Tilmun,Telmun,Aʾali (Dilmun)
Dimasqa[1]SN	Dimasqa	678106	[36.306749,33.511461]	Dimašqa,Damascus,Dimašq
Diniktum[1]SN	Diniktum	249999668	[44.482146,33.29375]	Tell Muhammad (Diniktum),Diniktum (mod. Tell Muhammad),Tell Muhammad
Diqdiqqah[1]SN	Diqdiqqah	138636347	[46.11862957480,30.97454761630]	uncertain (mod. Diqdiqqah)
Diyala[1]GN	Diyala	000002	[]	
Dohok[1]SN	Dohok	955792756	[42.918763,36.858746]	Dehok,uncertain (mod. Dohok),Dohuk
Du-Enlila[1]SN	Du-Enlila	000002	[]	
Dunnu-ša-Uzībi[1]SN	Dunnu-ša-Uzībi	293088342	[40.7499196,37.816986]	Giricano,Giricano (Dunnu-ša-Uzībi),Dunnu-ša-Uzībi (mod. Giricano)
Dur-Abi-ešuh[1]SN	Dur-Abi-ešuh	000002	[]	
Dur-Aššur-ketti-leṣir[1]SN	Dur-Aššur-ketti-leṣir	473755738	[40.860667,36.3985]	Dūr-Aššūr-ketti-lēṣir,T. Bdēri
Dur-Katlimmu[1]SN	Dur-Katlimmu	893991	[40.740208,35.643628]	Dur-Katlimmu (mod. Tall Shekh Hamad),Tall Shekh Hamad (Dur-Katlimmu),T. Šēḫ Ḥamad,Dūr-Katlimmu
Dur-Kurigalzu[1]SN	Dur-Kurigalzu	893988	[44.201763,33.354401]	ʿAqarqūf,Dur-Kurigalzu (mod. Aqar Quf),Aqar Quf (Dur-Kurigalzu),Dūr-Kurigalzu
Dur-Šarrukin[1]SN	Dur-Šarrukin	874458	[43.228261,36.510016]	Khorsabad (Dur-Šarrukin),Dūr Šarrukīn,Dur-Šarrukin (mod. Khorsabad),Dūr-Šarrukīn,Ḫorsābād,Horsābād,Dur-Sharrukin,Khorsabad
Dur-Undasi[1]SN	Dur-Undasi	459393126	[48.520833,32.008333]	Dūr-Undāsi,Dūr Undāsi,Dūr Untaš,Dūr Untasi,Dūr-Untaš,Šuġā Zanbīl,Côga Zanbīl,Čoġa Zanbil,Čoġā Zanbīl,Chogha Zanbil (Dur-Untaš)
Dura-Europus[1]SN	Dura-Europus	893990	[40.7300288605,34.747546619]	uncertain (mod. Dura-Europus)
Duru[1]SN	Duru	713816456	[39.0245,37.140833]	Anaz,Dūru
Duʾru[1]SN	Duʾru	678121	[34.916907,32.617589]	Dūʾru,Dôr,Dora
Dusabar[1]SN	Dusabar	000002	[]	
Džanfida[1]SN	Džanfida	280340257	[44.0245673778,40.0442003093]	uncertain (mod. Džanfida)
Ebla[1]SN	Ebla	869702586	[36.7983658027,35.7990446787]	Ebla (mod. Tell Mardikh),Tell Mardikh (Ebla)
Ecbatana[1]SN	Ecbatana	903021	[48.512209,34.799294]	Ἐκβάτανα,Hamadān (Ecbatana),Achmeta,Agbatana,Agmatanu,Ahmadan,Ecbatana,Epiphaneia,Hagmatana,Hamadān,Hamaḏān,Hamdān,Hamādan,Hamadan,Hāgmātana,Hāmādān,Ḥamdan
Ediʾil[1]SN	Ediʾil	707519	[33.424817,35.016090]	Ediʾil,Idalion
Edremit[1]SN	Edremit	874362	[43.276591,38.422069]	uncertain (mod. Edremit)
Eʾedin[1]SN	Eʾedin	000002	[]	
Egypt[1]GN	Egypt	48012424	[30.802498,26.820553]	uncertain (mod. Egypt),Muṣur
Ekalte[1]SN	Ekalte	703315102	[38.1299921,36.2194381]	Ekalte (mod. Tell Munbaqa),Tell Munbaqa (Ekalte)
el-Ghab[1]GN	el-Ghab	413309735	[36.356,35.587]	Al-Ghab,uncertain (mod. el-Ghab)
El-Khargeh[1]SN	El-Khargeh	776181	[30.553476,25.438054]	El-Khargeh,Hibis,El-Hiba,Hibiton polis
El-Qitar[1]SN	El-Qitar	457651161	[38.1807242179,36.3840362544]	El-Qitar,uncertain (mod. El-Qitar)
Ellitarbi[1]SN	Ellitarbi	658521	[36.858743,36.145528]	el-Atārib,Tērib,Ellitarbi,Litarba
Elvend[1]SN	Elvend	903032	[48.43661,34.759872]	Mount Elvend,uncertain (mod. Mount Elvend)
Emar[1]SN	Emar	279984092	[38.1109976469,35.9870203108]	Tell Meskene (Emar),Emar (mod. Tell Meskene),Imar,Tell Meskene
Erek_Dağ[1]GN	Erek_Dağ	356811079	[43.4938043,38.4537563]	Erek Dağ,uncertain (mod. Erek Dağ)
Eridu[1]SN	Eridu	912845	[45.969820,30.821525]	Abu Shahrain (Eridu),Eridu (mod. Abu Shahrain),Eridu,Abū Šaḥrain
Ešnunna[1]SN	Ešnunna	90720956	[44.7247598,33.4873408]	Eshnunna,Tell Asmar (Ešnunna),Ešnunna (mod. Tell Asmar)
Failaka[1]SN	Failaka	912851	[48.274487000000001,29.433698]	
Firakdin[1]SN	Firakdin	628979	[35.623396,38.253654]	uncertain (mod. Firakdin)
Gabbutunu[1]SN	Gabbutunu	329386245	[34.833333,31.833333]	Gibbetôn,Raʾs Abī Ḥamīd,Gabbutūnu
Galʾad[1]SN	Galʾad	889522883	[35.75,32.083333]	Galʾad,Gilʾad,Ḫirbat Ǧalʿad,Gilead
Gargamis[1]SN	Gargamis	658465	[38.013529,36.829505]	Gargamīs,Ǧarablūs,krkymyš,Carchamish,Carchemish (mod. Europos),Europos (Carchemish),Carchemish
Garni[1]SN	Garni	863795	[44.7276745333,40.1146976667]	uncertain (mod. Garni)
Garšana[1]SN	Garšana	000002	[]	
Gazandži[1]SN	Gazandži	904615255	[44.0265520,40.0067314]	uncertain (mod. Gazandži)
Gazru[1]SN	Gazru	687904	[34.920181,31.866353]	Gazru,Gezer,Gazara
Gherla_(Romania)[1]SN	Gherla_(Romania)	207133	[23.899912,47.019833]	Gherla (Romania),Gherla, Romania,Gherla,uncertain (mod. Gherla, Romania)
Gidira[1]SN	Gidira	697665	[35.716993,32.022341]	Gidira,Gader,Gadara/Pompeia
Giʾa[1]SN	Giʾa	678338	[35.428727,33.663081]	Gīʾa,Gīya,Porphyreon Polis
Gimtu[1]SN	Gimtu	889522884	[34.77,31.608833]	Gat,Tel es-Safī,Gimtu
Gingilinis[1]SN	Gingilinis	146790518	[43.2535,36.469667]	Gingiliniš,Tepe Chenchi
Girmua[1]SN	Girmua	248782116	[43.353833,36.659]	Ǧirwān,Jerwan,Girmua
Girsu[1]SN	Girsu	912855	[46.175712,31.576909]	Girsu (mod. Tello),Tello (Girsu)
Gleieh[1]SN	Gleieh	223856812	[42.211404,34.302925]	uncertain (mod. Glai'a),Glai&apos;a,Glaiʾa,Kar-Apla-Adad,Kār-Apladad,Glai'a,Glai’a
Godin_Tepe[1]SN	Godin_Tepe	903035	[48.091718,34.530021]	Godin Tepe
Gubal/Gubla[1]SN	Gubal/Gubla	668250	[35.922327,35.378062]	Gubal/Gubla,Ǧabla,Byblos (Gubla),Gubla (mod. Byblos),Gabala
Gubla[1]SN	Gubla	668216	[35.645732,34.119026]	Gebal,Gubla,Byblos,Ǧubail
Guzana[1]SN	Guzana	874739	[40.039460,36.826606]	Gôzān/gwzn/Gizania,T. Ḥalaf,Gūzāna
Habıbuşağı[1]SN	Habıbuşağı	87556001	[38.7937720,38.4334490]	uncertain (mod. Habıbuşağı)
Habuba_Kabira[1]SN	Habuba_Kabira	494566507	[38.061005, 36.149450]	Habuba Kabira
Hadattu[1]SN	Hadattu	658399	[38.407778,36.848889]	Ḫadattu,Arslān Ṭāš,Arslan Tash (Ḫadatu),Ḫadatu (mod. Arslan Tash),Arslan Tash
Halab/Halman[1]SN	Halab/Halman	658409	[37.156825,36.199335]	Ḫalab/Ḫalman,Aleppo,Ḥalab
Hamam[1]SN	Hamam	887415955	[41.2727638,39.9063215]	uncertain (mod. Hamam)
Hamat/Amattu[1]SN	Hamat/Amattu	668261	[34.723414,36.714401]	Ḫamat/Amattu,Amattu,Hamat,Ḥamāt,Ḥamā
Hanusa[1]SN	Hanusa	641191183	[43.412667,36.760833]	Ḫinnis,Ḫanusa,Ḫinis
Haradum[1]SN	Haradum	894003	[41.6,34.433333]	Kirbet ed Diniye,Haradum (mod. Khirbet ed-Diniye),Khirbet ed-Diniye (Haradum),Haradu
Harbe[1]SN	Harbe	677382294	[39.4981890,36.6465219]	Tell Chuera (Ḫarbe),Ḫarbe (mod. Tell Chuera),Tell Chuēra,Tell Chuera,Tall Ḑahr ash Shuwayrah
Harisu[1]SN	Harisu	135436342	[35.674167,33.978167]	Ḫariṣû,Ḥariṣṣa
Harran[1]SN	Harran	658427	[39.031184,36.864682]	Ḫarrānu,Harran (Harran),Harran (mod. Harran),Ḥarrān,Carrhae
Hasankale_(Pasinler)[1]SN	Hasankale_(Pasinler)	874492	[41.6662835,39.984743]	Hasankale (Pasinler),Hasankale,uncertain (mod. Hasankale)
Hattusa[1]SN	Hattusa	283602441	[34.615278,40.019722]	Boğazkale (Ḫattusa),Ḫattusa (mod. Boğazkale),Ḫattusa,Boghazkoy,Boğazkale,Bogazkale,Boğazköy,Boghazköy,Bogazkoy,Ḫattuša,Hattuşaş,Hattusas
Haurina[1]SN	Haurina	161546548	[37.084667,34.2695]	Ḫāurīna,Ḥawārīn
Hazazu[1]SN	Hazazu	688460609	[37.053,36.592833]	Ḫazāzu,ʿAzāz
Hazor[1]SN	Hazor	779967430	[35.568137176,33.017462128]	uncertain (mod. Hazor),Tel Hazor
Hazzat[1]SN	Hazzat	687902	[34.445392,31.529444]	Ḫazzat,Gaza,Ġazza,ʿazza
Hidalu[1]SN	Hidalu	283684589	[50,30.966667]	Ḫaidalu/Ḫīdālu,Ḫīdālu,Ardjān,Ḫaidālu
